name, dist
"Салавата Юлаева (конечная)", 0
"ЖК Александровский", 536
"18-й микрорайон", 525
"11-й микрорайон", 558
"Фокус", 330
"Молдавская (Комсомольский проспект)", 350
"8-й микрорайон", 480
"Солнечная (Комсомольский проспект)", 330
"Ворошилова (Комсомольский проспект)", 500
"ТК Комсомольский", 265
"Молодогвардейцев", 420
"Поликлиника (Комсомольский проспект)", 550
"Кинотеатр Победа", 425
"Красного Урала (Комсомольский проспект)", 430
"Чайковского (Комсомольский проспект)", 425
"Косарева (Комсомольский проспект)", 705
"Краснознаменная (Комсомольский проспект)", 530
"Комсомольский проспект", 475
"Островского (Свердловский проспект)", 400
"проспект Победы (Свердловский проспект)", 460
"Калинина (Свердловский проспект)", 520
"Торговый Центр (Свердловский проспект)", 455
"Дворец спорта Юность", 920
"Алое Поле", 860
"Публичная библиотека", 385
"пл. Революции", 600
"Детский мир", 405
"Центральный рынок", 520
"Агентство воздушных сообщений", 340
"ТРК Горки", 520
"Комсомольская пл.", 500
"Театр ЧТЗ", 690
"1 Пятилетки (ул. Героев Танкограда)", 720
"Отделочные Материалы", 625
"ДК Ровесник", 440
"Магазин Шатура", 295
"Октябрьская", 375
"Магазин Россия", 740
"Академия государственной службы", 580
"Танкистов (ул. Бажова)", 300
"пос. Первоозёрный", 510
"Школа (ул. Мамина)", 620
"Универсам (ул. Мамина)", 335
"Вязовая", 340
"Мамина", 290